boiler_no,TIME,Steam Pressure_Main Header,outdoor temperature,Temperature_Concentrated Water,Operating Time_Feed water,Temperature_Exhaust Gas,Volume_Feed water_delta,Temperature_Feed water,Temperature_Tube Wall,Damper Angle,Temperature_Scale,Temperature_External,Operating Status,Operating Code,Input Status,Power Usage_Meter,Steam Pressure,Operating Time_Chemical Injection,Combustion time,Number of Ignition,Gas consumption,Abnormal Blow Down
10,10hh45mm,0.670454545455,0.859671388489,0.433384912959,0.5,0.242130750605,0.854285083691,0.36231884058,0.854271356784,0.309803921569,0.910526315789,0.6875,1.0,14.0,16.0,0.499989936527,0.819277108434,0.5,0.5,0.5,0.990393855391,0
10,11hh00mm,0.681818181818,0.872123795594,0.445957446809,0.5,0.249394673123,0.854286674266,0.369565217391,0.844221105528,0.380392156863,0.915789473684,0.6875,1.0,14.0,16.0,0.49999270629,0.819277108434,0.5,0.5,0.5,0.990393980606,0
10,11hh15mm,0.693181818182,0.875663739478,0.44946486138,0.5,0.234866828087,0.854279993849,0.369565217391,0.849246231156,0.278431372549,0.894736842105,0.729166666667,1.0,14.0,16.0,0.499977472593,0.819277108434,0.5,0.5,0.5,0.990393613408,0
10,11hh30mm,0.681818181818,0.87047903067,0.443662153449,0.5,0.237288135593,0.854280757325,0.369565217391,0.849246231156,0.282352941176,0.9,0.729166666667,1.0,14.0,16.0,0.499979549915,0.819277108434,0.5,0.500000029812,0.5,0.990393730176,0
10,11hh45mm,0.727272727273,0.87511738158,0.44946486138,0.5,0.230024213075,0.854280884571,0.369565217391,0.849246231156,0.243137254902,0.889473684211,0.729166666667,1.0,14.0,16.0,0.499978165034,0.831325301205,0.5,0.5,0.5,0.990393613408,0
10,12hh00mm,0.715909090909,0.882015150049,0.448252740168,0.500000029811,0.227602905569,0.854277639797,0.369565217391,0.849246231156,0.247058823529,0.889473684211,0.75,1.0,14.0,16.0,0.499973317948,0.819277108434,0.5,0.5,0.5,0.990393487199,0
10,12hh15mm,0.715909090909,0.880489900916,0.446073500967,0.5,0.222760290557,0.85427643096,0.369565217391,0.849246231156,0.219607843137,0.884210526316,0.75,1.0,14.0,16.0,0.49996639354,0.819277108434,0.5,0.5,0.5,0.990393424094,0
10,12hh30mm,0.715909090909,0.887626700966,0.447169568021,0.5,0.227602905569,0.854276939944,0.369565217391,0.849246231156,0.243137254902,0.889473684211,0.770833333333,1.0,14.0,16.0,0.499969855744,0.819277108434,0.5,0.500000029812,0.5,0.990393487199,0
10,12hh45mm,0.727272727273,0.886898223768,0.456350741457,0.5,0.225181598063,0.85427770342,0.36231884058,0.849246231156,0.223529411765,0.884210526316,0.770833333333,1.0,14.0,16.0,0.499969855744,0.819277108434,0.5,0.5,0.5,0.990393487199,0
10,13hh00mm,0.704545454545,0.887871423775,0.449825918762,0.5,0.232445520581,0.854276176468,0.369565217391,0.849246231156,0.243137254902,0.884210526316,0.770833333333,1.0,14.0,16.0,0.499967778422,0.807228915663,0.5,0.5,0.5,0.990393479746,0
10,13hh15mm,0.715909090909,0.882379388648,0.448368794326,0.5,0.230024213075,0.854277576174,0.36231884058,0.849246231156,0.243137254902,0.884210526316,0.791666666667,1.0,14.0,16.0,0.499971933067,0.819277108434,0.5,0.5,0.5,0.990393550303,0
10,13hh30mm,0.704545454545,0.892265051876,0.459136041264,0.5,0.234866828087,0.854277448928,0.376811594203,0.849246231156,0.250980392157,0.889473684211,0.791666666667,1.0,14.0,16.0,0.499971240626,0.819277108434,0.5,0.500000029812,0.5,0.990393479746,0
