,weather,temperature,pressure,humidity,wind_speed,wind_direction,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,PM25_Concentration
2014-10-29 11:00:00,1.0,0.7941176470588235,0.5409836065573792,0.53,0.034722222222222224,13.0,0.08333333333333334,0.11111111111111112,0.05721847627449743,0.19346049046321526,0.014028056112224447,29.0
2014-10-29 12:00:00,1.0,0.803921568627451,0.5245901639344268,0.53,0.05555555555555555,13.0,0.05050505050505051,0.06837606837606838,0.05797466759090049,0.20163487738419617,0.01002004008016032,29.0
2014-10-29 13:00:00,1.0,0.8117647058823529,0.508196721311478,0.52,0.034722222222222224,13.0,0.05050505050505051,0.05555555555555556,0.05400466317978447,0.20435967302452315,0.01002004008016032,28.0
2014-10-29 14:00:00,1.0,0.8196078431372549,0.508196721311478,0.5,0.041666666666666664,13.0,0.039141414141414144,0.05982905982905984,0.052618312433045544,0.1880108991825613,0.008016032064128256,26.0
2014-10-29 15:00:00,1.0,0.8196078431372549,0.4918032786885256,0.5,0.037037037037037035,13.0,0.07575757575757577,0.07692307692307693,0.05362656752158295,0.19073569482288827,0.01002004008016032,26.0
2014-10-29 16:00:00,1.0,0.7784313725490196,0.4918032786885256,0.55,0.05092592592592593,13.0,0.09469696969696971,0.07692307692307693,0.053815615350683715,0.1880108991825613,0.008016032064128256,25.0
2014-10-29 17:00:00,1.0,0.7784313725490196,0.4918032786885256,0.55,0.05092592592592593,13.0,0.06691919191919193,0.10683760683760685,0.05444577478101959,0.1880108991825613,0.01002004008016032,25.0
2014-10-29 18:00:00,1.0,0.7784313725490196,0.4918032786885256,0.55,0.05092592592592593,13.0,0.09595959595959597,0.15811965811965814,0.0569033965593295,0.1771117166212534,0.014028056112224447,26.0
2014-10-29 19:00:00,1.0,0.7784313725490196,0.4918032786885256,0.55,0.05092592592592593,13.0,0.09595959595959597,0.17094017094017094,0.058793874850337116,0.19073569482288827,0.02004008016032064,28.0
2014-10-29 20:00:00,1.0,0.7784313725490196,0.4918032786885256,0.55,0.05092592592592593,13.0,0.0744949494949495,0.16666666666666669,0.057596571932698966,0.19073569482288827,0.01603206412825651,27.0
